professor,course,comment,date
Katherine Daignault,STA257,"This course really require a lot of efforts. I would say the quality of the pre-recorded videos is high. Her lectures are pretty detailed and very helpful for quizzes and exams. I really enjoy learning new statistics knowledges in her class. (The participation requirement is a bit annoying, especially for people living in other time zone like me. )",2021-01-11 16:15:02
Katherine Daignault,STA257,All of her test questions are extremely ambiguous. She takes forever to mark the tests and takes a long time to respond. Has double-standards.,2021-01-09 18:33:32
Katherine Daignault,STA257,Test questions are pretty hard.......,2021-01-09 13:59:09
Katherine Daignault,STA257,"I would be lying if I said I had a remotely fruitful or engaging learning experience from STA257. Quizzes were clearly worded with the sole intention to spark confusion, lectures were simply a regurgitation of the slides and the overall class environment was one in which any wrongdoing could only be on the part of students and not Prof Daignault.",2020-12-24 14:54:58
Katherine Daignault,STA257,"Just don't take this if STA257 is not mandatory. The pre-lecture videos are just reading slides and the lecture is mostly-repeating slides -- but in a faster way. If you do need to take STA257, I recommend you to take the summer section. Tests are really hard compared to what she teaches. Quizzes are time-intensive and need lots of work. GPA killer",2020-12-22 04:17:43
Katherine Daignault,STA257,"Everything she does comes from a good place, and the lectures are quite good, but ""overkill"" might be the most appropriate word to describe how the course is coordinated. Have that being said, the course overall is NOT hard, and here is the most important part: I started STA257 loving stats, and I finished STA257 still loving stats.",2020-12-22 02:17:34
Katherine Daignault,STA257,"Her final redefines hell, thats all Im going to say",2020-12-21 16:27:15
Katherine Daignault,STA257,Why would she not correct the slides in a PRE-RECORDED lecture!? How lazy can one be? Also why would she not post the annotated slides after the lecture is done!? These are just basic things she could improve on apart from the inaccessibility and mediocre lectures. The slides are all empty when you want to review for the exam to cross-check.,2020-12-21 09:30:58
Katherine Daignault,STA257,Worst prof ever. The assignment is to make multiple choices for her future use.,2020-12-18 13:08:36
Katherine Daignault,STA257,She clearly put a lot of effort into the class and seemed to care a lot. I personally found the forced attendance and the participation marks annoying(which didn't even have a clear marking criteria until very late into the course). Just leaving this here incase all the reviews from before are scaring you from taking the course with her.,2020-12-18 12:41:04
Katherine Daignault,STA257,"Had such a traumatic experience in STA257, I really wish I had listened to what rate my professor and raddit posts said about her... Run as far as you can",2020-12-11 02:21:54
Katherine Daignault,STA257,"The median for the test was 52. This isn't a measure of the students' competency, but solely a reflection of prof. Daignault's absolutely pathetic teaching style. I hope you're not compelled to take her as I was. My sincere condolences to her future employers.",2020-12-09 05:53:43
Katherine Daignault,STA257,"Worst prof I had at uoft as a math specialist. Both bad at explaining and testing Most disrespectful thing is giving us an assignment where we literally just make more multiple choice questions for her to use for her next year class, like seriously why do we have to design your course for you just because you, as a TEACHING STREAM professor, cbf to",2020-12-01 22:02:02
Katherine Daignault,STA257,"Avoid her if possible, worst prof I've had in uoft. Lectures are useless, reads completely off of her slides. Weekly quizzes are weirdly worded. She simply doesn't care about students.",2020-11-23 17:19:37
Katherine Daignault,STA257,"Her lecture is literally just reading from the slides, will not admit her mistakes during the lecture, and definitely does not know how to write proof rigorously. She will not answer the students' questions and literally ignore our questions. Tests are way harder than questions in lecture. DO NOT TAKE HER!!!!!!",2020-11-23 06:57:33
Katherine Daignault,STA257,I gave 1.0 because apparently RMP does not allow me to give 0 or below. Tests are difficult while lectures are useless.,2020-11-21 22:13:47
Katherine Daignault,STA257,"I was actually looking forward to this course but Katherine absolutely ruined it. Why would someone teach stats if they're clearly not interested in the students' learning process?? The probability of you enjoying the lectures is 0. Just read the slides rather than watching the long, boring videos, as that's basically what she's doing.",2020-11-21 10:18:55
Katherine Daignault,STA257,Reviewing for the test is useless. Prepare to die.,2020-11-18 22:14:00
Katherine Daignault,STA257,"Extremely difficult test, easy examples in class. Well done, Katherine!",2020-11-18 22:05:03
Katherine Daignault,STA257,"Overall an odd prof.. Lectures are clearly done while reading from a script. On many occasions she'd repeat herself without realizing it. Didn't allow mic access during office hours.. Overall lectures are kind of boring and not very engaging. She's nice enough, and tests are graded somewhat leniently, but I just didn't feel like she's engaging.",2020-11-18 18:50:11
Katherine Daignault,STA257,"I love statistics, but this course feels more like a chore than a learning experience. The only reason to attend lecture is to get the participation mark and do the unnecessary quiz at the end. There is heavy pre lecture prep and needless synchronous lectures with little value to add to the independent prep. The lectures are boring and repetitive.",2020-11-12 13:25:10
Katherine Daignault,STA257,Don't take her,2020-11-12 00:22:07
Katherine Daignault,STA257,Recommend her to take CSC165 first. Always write proof informal.,2020-10-27 04:15:03
Katherine Daignault,STA257,"To be honest, her lecture is fine, but the quizzes are sucked, when she wrote the quiz, only Gods and her know what the hell is she doing, and now, only gods know. Her quizzes always appear with some ambiguous options. I wouldn't take this class If it weren't the necessary crouse for my program, and I will Never ever choose her class again.",2020-10-25 19:35:54
Katherine Daignault,STA257H1F,"Unintelligible lectures, tricky quizzes, annoying marked group discussion.",2020-10-23 02:41:38
Katherine Daignault,STA257,Lazy. We have to watch close to 1-2 hours of videos before class and then she goes over everything in a hurry. Does not often explain the intuition behind certain statistical theories. Her course is poorly designed.,2020-10-17 20:45:54
Katherine Daignault,STA257,"I dont know why everyone is so harsh on her, shes being sweet and as a newer prof shes doing well!",2020-10-14 19:52:01
Katherine Daignault,STA302,"I took this course in the summer of 2020, it was amazingly well taught. The lectures really went into depth and were the best formatted statistics lectures I've had so far. Quizzes were extremely fair and the mini projects were a great mark booster if you kept up with the course content. There was also (free) marks for posting discussion questions.",2020-10-09 07:02:07
Katherine Daignault,STA257,She deserves a 5/5 from me because she accepted my last submitted term test:),2020-10-08 00:32:44
Katherine Daignault,STA257,"I think the previous posts say it all but, in general, not a very good prof. She teaches fairly decent but the logistics and outside of class aspect is what weight the most. In my opinion, she just doesn't seem like she is prepared to deal with the students, and usually her quizzes/tests are unrenamable in terms of time and content.",2020-10-07 22:57:19
Katherine Daignault,STA221,"The single biggest thing is her lack of empathy and communication skills with students. She leaves passive-aggressive comments and short answers on Piazza. She blames students whenever there's an opportunity to. She plays the victim when students need help. Instead of taking the time to listen and consider concerns, she deflects. It's pitiful",2020-10-07 17:55:38
Katherine Daignault,STA257,"I will repeat three times: avoid her, avoid her, avoid her!!!!!!!! If you don't want to have mental health problems or having a headache every single day.",2020-09-28 09:15:40
Katherine Daignault,STA257,"She never answer emails, The length of preparation is the same as lecture hour",2020-09-28 07:10:51
Katherine Daignault,STA257,Insensitive comments when responding to students. Refuses to listen to students needs and does not troubleshoot. Blames students for her own mistakes. Condescending tone and passive aggressive comments. Numerous errors on quiz and yet does not admit her mistakes. Honestly just fix them and move on.,2020-09-26 10:34:47
Katherine Daignault,STA220,"Very difficult. DO not take with her. Made me hate anything to do with stats and. Did not teach well, lectures were only a summary of modules and did not solve questions that were reflective of the difficulty of the tests.",2020-09-18 17:46:56
Katherine Daignault,STA257,"Katherine is amazing. Stats department teaching staffs can often be unclear and disorganized, but Katherine teaches very well, and makes difficult concepts straightforward, even when it is a tough course and it is very easy to teach badly.",2020-09-16 15:21:56
Katherine Daignault,STA302,The course was very organized. Great lectures and she provides neat notes. The quizzes were extremely difficult but as long as you studied hard you shouldn't do too bad.,2020-07-24 14:59:16
Katherine Daignault,STA304,"Midterm average below passing grade says a lot. Plus she only curved up to 50, the minimum grade required to pass. TOO MANY MISTAKES IN SLIDES. I think teachers should know to self-reflect and try to improve when only less than 10% of the students enrolled show up to class, especially while attendance counts for marks.",2020-07-05 04:25:31
Katherine Daignault,STA220,"Textbook not mandatory, but you'll need it to prepare for her brutal tests. The lecture material will *not* prepare you for tests - don't like the assignments fool you. Need to ask a question? Don't expect any good responses from Piazza, where she only offers one line answers and sometimes with condescending language.",2020-06-13 04:32:06
Katherine Daignault,STA302,AVOID AVOID AVOID! Worst prof. Unempathetic. Ignores students' needs and accommodations. She adds ridiculous rules to fail people.,2020-06-10 20:11:20
Katherine Daignault,STA302,"Really bad professor, doesn't know how to teach, doesn't care about teaching AND HAS REALLY TOUGH UNRELATED TESTS!!! Do not take her courses if you can. You will save your mental health.",2020-06-08 19:52:51
Katherine Daignault,STA257,"Extremely hard test. Test materials are not really related to the courses, it is much much harder.",2020-05-23 01:26:51
Katherine Daignault,STA302,"I missed a midterm because I was hospitalized for 3 weeks. It was impossible to submit a verification of illness(VOI) within a week. When I finally submitted it, she didn't accept it and said I didn't provide evidence of hospitalization. This was during the covid-19 pandemic, and this was my only course to graduate school. Screwed my job and life",2020-05-19 23:35:08
Katherine Daignault,MAT302,"Just never wanna see her again in my life, worst prof ever",2020-05-17 07:32:33
Katherine Daignault,STA302,Online quiz extremely difficult. Never give enough time. Lecture sucks.,2020-05-14 21:12:22
Katherine Daignault,STA302,Her slides are detailed and straight-forward. I felt that she was pretty helpful in office hours as well. Really like how her assignments are made because it tests your knowledge and application of the concepts learned in class. Her midterm was really hard though (not enough time). COVID-19 changed the marking scheme to heavily weight assignments.,2020-05-07 00:23:38
Katherine Daignault,STA302,"I really like her, I took her STA257 as well. The learninng experience with her in STA302 is amazing, she lay emphasis on how to use your knowledge and do analysis instead of just do the questions. And she responds emails and piazza detailed. If you really want to learn stats, don't skip classes and do assignments, they strengthen your knowledge.",2020-04-27 15:41:41
Katherine Daignault,STA257,"Worst prof. At the beginning of term when the class really disliked her I kind of felt bad, but by the end of term I also can't stand her anymore. Slide reader, lots of typos, cannot answer questions asked in class, unreasonable exams. I learned more from my tutorial TA.. However, could not avoid because there's only one session of this class...",2020-04-22 19:33:38
Katherine Daignault,STA302,"Everything is hard and ambiguous. Slides are wordy and much of words are useless, hard exams, ambiguous problems on assignments and exams, just read slides during lecture, low midterm grades (42%) and the curve can be neglected, plus full of typos on everything. The worst prof I've met. Just avoid her if you can.",2020-04-10 11:23:57
Katherine Daignault,STA257,"I cant say she is a teacher... Many typos in the slides and she even cant do calculation correctly. I have never thought math and sat be that hard. Though I got A+ in the end, I still dont like her lectures. I have done all the practice she assigned in the textbook, but the coefficient of correlation between practice and exam is 0:)",2020-04-09 17:26:13
Katherine Daignault,STA257,"I got an A, but she is the worst prof I have ever had. I never go to the lecture, but I think that is the reason why I can get an A.",2020-04-07 02:30:23
Katherine Daignault,STA221,this prof is the laziest thing I've ever met. Honestly she should go back to how-to-become-a-professor school. I'd personally like to thank the textbook for my success in this class.,2020-04-05 04:07:26
Katherine Daignault,STA221,"The professor is juts reading her slides, so it is boring. However, you need to go to class just to have participation mark. This class would have been done in 2h, totally unuseful blablabla from the teacher... I do not recommend at all.",2020-03-28 20:22:18
Katherine Daignault,STA220,Course was extremely disorganized. Students required to self teach through posted videos and clarify trouble topics in class. This was extremely overwhelming and midterm was tough. The final (all MC and TorF) was even worse than the midterm. The course was also not curved in any way. Professor was pretty good but course evaluations horrible.,2020-03-26 03:18:40
Katherine Daignault,STA302,40% midterm average lots of assignments hard coding dont take it,2020-03-23 01:33:03
Katherine Daignault,STA302,tooooooo hard for sta302 students,2020-03-22 00:27:48
Katherine Daignault,STA302,"kat has a great personality but that doesnt change the fact that she gives very difficult tests yet she always expects us to do well. i mean, can she try our shoes? like the class avg is always 50% or 40%, doesnt this say enough???? hope she knows how to set up a good test in the future.",2020-03-13 18:56:25
Katherine Daignault,STA302,"lots of typos, lots of assignments, slides reader",2020-03-10 15:12:37
Katherine Daignault,STA302,Assignment is hard. Read slides. I have 5 midterms at the same date and I ask for change to other section to write the midterm. But she didnt allowed. No nice at all.,2020-02-13 04:06:14
Katherine Daignault,STA257,Absolutely horrible. Lectures were meaningless and the final was much harder than the usual course materials. She fits nicely in the horrible stats department at UofT.,2020-02-05 03:22:30
Katherine Daignault,STA257,"Bad lecture, slides reader. And refuse to help. Worst prof Ive seen ever. I got A in all other second year course except for this one. Her final exam is soooooooooo hard, and not related to what she talk about in lectures.",2020-01-07 18:53:14
Katherine Daignault,STA257,"I think she was helpful and has potential. However, by the end of the course (the final quiz and exam), the level of difficulty of the homework, in class examples, etc was absolutely nothing like the exam... leading to most of us having panic attacks on the way out. If she can recalibrate that she'll be a good prof in my opinion.",2020-01-06 15:48:29
Katherine Daignault,STA257,Too many typos in her slides. The final was extremely difficult; even doing every question in the textbook was of little help.,2019-12-21 15:20:42
Katherine Daignault,STA257,"The difficulty does not match her quality of teaching. 1.) 6/12 weeks, she has made a typo. Not corrected. With the exception of one time. 2.) The overall attitude, philosophy, environment, organization, of the class is not good. She admitted that she makes awkward typos about 3 times but there is no change 3.) I got no more char left, it goes on",2019-12-17 07:19:14
Katherine Daignault,STA257,dont take it. u'll regret it forever. The final exam is way harder than the materials we leaarnt throughout the term (and the past papers taht were given to us). I knew im going to fail the minute i see the question. I did every single question in the textbook but still got totally lost while writing the final.,2019-12-17 02:06:49
